Latitude,Longitude,Time of Observation,,Sea Level Pressure,Characteristics of Pressure Tendency,Pressure Tendency,Air Temperature,Dew Point Temperature,Wave Period,Wave Height,Swell Direction,Swell Period,Swell Height,Total Cloud Amount,Low Cloud Amount,Cloud Height,Middle Cloud Type,High Cloud Type,Visibility,Present Weather,Past Weather,Wind Direction,Wind Speed,Pressure Classification,Fishing Conditions,Fishing day,Catch Rate
-28.4,38.1,2015-01-21T06:00:00,,30.08,2,0,76.1,56.7, , ,9,8,6,3,2,5,7,0,98,3,0,160,72,M,N,Y,636
-28,39.8,2015-01-21T12:00:00,,30.03,8,0,77,59, , , , , ,4, ,5,6,A,98,2,1,170,77,M,N,Y,646
-27.7,41.4,2015-01-21T18:00:00,,30.06,2,0,75.2,62.2, , , , , ,3, ,A,7,A,98,3,0,130,103,M,N,Y,656
-27.4,42.9,2015-01-22T00:00:00,,30.03,7,0,75.2,58.5, , , , , ,1, ,A, , ,98,2,0,140,77,M,N,Y,666
-27,44.6,2015-01-22T06:00:00,,30.06,1,0,80.6,57.9,3,2,10,5,6,6,4,5,7,0,98,3,2,130,103,M,N,Y,676
-26.4,46,2015-01-22T13:00:00,,30,7,0,78.8,63.3, , , , , ,2, ,A, , ,97,2, ,140,113,M,N,Y,686
-25.6,47.8,2015-01-22T18:00:00,,30.01,2,0,77,62.1, , , , , ,3, ,A, , ,98,3,0,120,113,M,N,Y,696
-24.8,49.5,2015-01-23T00:00:00,,29.96,6,0,75.2,61.3, , , , , ,5, ,A, , ,98,3,2,130,113,M,N,Y,706
-23.9,51.2,2015-01-23T06:00:00,,29.95,0,0,82.2,61.7,4,1,18,8,6,6,2,6,7,0,97,3,2,110,123,M,N,Y,716
-22.5,54.2,2015-01-23T18:00:00,,29.87,0,0,78.8,68.2, , , , , ,4, ,A, , ,98,3,0,150,159,M,N,Y,726
-21.7,55.8,2015-01-24T00:00:00,,29.79,6,0,77.9,73.4, , , , , ,8, ,A, , ,97,62,0,140,165,M,N,Y,736
-20.8,57.4,2015-01-24T06:00:00,,29.84,0,0,84.2,74.1,5,2,17,7,6,6,5,3,7,1,98,80,1,70,87,M,N,Y,746
-20.1,59,2015-01-24T12:00:00,,29.83,7,0,82.4,69.4, , , , , , , ,A,A,8,98,1,0,90,113,M,N,Y,756
-19.3,60.5,2015-01-24T18:00:00,,29.88,0,0,81,71.1, , , , , ,3, ,A, , ,98,3,0,90,139,M,N,Y,766
-18.5,62,2015-01-25T00:00:00,,29.85,5,0,77.5,67.8,99,5,38, ,6,3, ,A, , ,98,2,0,110,129,M,N,Y,771
-17.8,63.4,2015-01-25T06:00:00,,29.88,0,0,84.2,71.2,4,1,9,6,6,3, ,4,0,0,98,3,0,110,139,M,N,Y,776
-17,64.9,2015-01-25T12:00:00,,29.82,5,0,82.4,70.7,5,3, ,8,5,8, ,3,0,0,98,2,2,150,108,M,N,Y,781
-16.2,66.5,2015-01-25T18:00:00,,29.87,1,0,78.4,73.6, , , , , ,8, ,A, , ,97,80,2,130,41,M,N,Y,786
-14.7,69.4,2015-01-26T06:00:00,,29.81,3,0,82.8,68,6,1,14,6,6,4,2,3,6,0,98,1,1,20,82,M,N,Y,791
-13.2,72.2,2015-01-26T18:00:00,,29.83,1,0,81,73.4, , , , , ,7, ,3,A,A,97,80,2,300,57,M,N,Y,796
-12.4,73.7,2015-01-27T00:00:00,,29.75,5,0,78.1,70.7,99,6,38, ,7,8, ,3,A,A,97,82,2,290,185,M,N,Y,801
-11.6,75.2,2015-01-27T06:00:00,,29.82,0,0,70.7,60.8,5,2,28,9,4,8,4,3,2,A,97,90,2,320,103,M,N,Y,806
-10.8,76.7,2015-01-27T12:00:00,,29.76,5,0, ,73.4,5,4,31,8,5,1,6,3,7,8,97,2,2,20,463,M,N,Y,811
-8.9,79.2,2015-01-28T00:00:00,,29.78,3,0,81.5,72,5,63,38, ,5,7,6,5,7,0,98,2,2,340,51,M,N,Y,816
-7.9,80.3,2015-01-28T06:00:00,,29.84,0,0,82.9,72.1, , ,26,10,3,5,3,5,7,0,98,3,0,330,31,M,N,Y,821
-6.6,81.6,2015-01-28T12:00:00,,29.78,3,0,83.3,68,99,1,29,7,3,3, ,4,0,0,98,2,0,310,10,M,N,Y,826
-5.4,82.8,2015-01-28T18:00:00,,29.86,0,0,81,70.2, , , , , ,3,1,4,A,A,98,3,0,270,26,M,N,Y,831
-4.2,84,2015-01-29T00:00:00,,29.82,3,0,80.4,72.1,0,0,1,5,1,2, ,3,0,0,98,3,0,90,10,M,N,Y,821
-2.3,86,2015-01-29T12:00:00,,29.83,0,0,84,73.6,5,1, , , ,2, ,3,0,0,98,2,0,190,26,M,N,Y,811
-0.2,88.1,2015-01-30T00:00:00,,29.87,3,0,79.3,67.8,99,1, , , ,3,2,5,0,8,98,3,0,362,10,M,N,Y,801
0.8,89.2,2015-01-30T06:00:00,,29.91,0,0,87.8,75.9, , , , , ,3, ,6,6,A,98,2,1,310,36,M,N,Y,791
2,90.4,2015-01-30T12:00:00,,29.86,3,0,83.1,73.2,99,1,5,5,2,4,3,3,7,0,97,3,2,330,36,M,N,Y,781
3,91.5,2015-01-30T18:00:00,,29.9,8,0,83.3,76.8, , , , , ,6, ,3,A,A,97,13,2,320,46,M,N,Y,771
4.2,92.6,2015-01-31T00:00:00,,29.85,3,0,80.8,71.8,4,1,3,6,2,6,4,4,3,4,98,3,1,360,57,M,N,Y,761
5.2,93.6,2015-01-31T06:00:00,,29.87,8,0,86,69.4, , , , , ,5, ,6, , ,97,2,1,40,82,M,N,Y,751
6.1,94.6,2015-01-31T12:00:00,,29.8,2,0,82.8,75.2,5,1, , , ,3,1,4,8,8,97,2,0,60,87,M,N,Y,741
